LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
3595122,4203681,29060755,2497066175,63355955,2362771736,2136829644,36572989,892329822,1396722808
1630844,3569997,18903594,1112848549,44403232,974628532,754511052,20733483,479227233,700829693
<not counted>,871703,3144168,330260970,5282134,308676718,198930491,4130765,113120206,220520933
<not counted>,794728,2874285,229184919,735298,108605954,126582417,<not counted>,60696380,143235724
<not counted>,647789,2362150,238096473,3046792,23296332,147916810,833271,86812064,142520974
<not counted>,702667,1872412,139521501,2444561,<not counted>,67609522,<not counted>,60971212,91724597
1105138,1458893,3453492,440459893,8103978,400162492,318423081,3385188,147748725,250992826
13313054,4893232,21506324,1715728974,57426909,2085866474,1545850719,34698440,475624640,943496646
<not counted>,790500,2373732,178847605,2113258,<not counted>,78393240,<not counted>,76451634,120484272
<not counted>,817647,2136330,171161225,2515739,<not counted>,95481116,<not counted>,74933662,107119440
<not counted>,671968,2015133,142787917,<not counted>,<not counted>,84569089,<not counted>,63247923,88599114
<not counted>,578972,980334,94437497,3651501,<not counted>,42634682,<not counted>,45664341,64419390
<not counted>,615462,1187131,90786792,1162911,<not counted>,35133894,<not counted>,49670134,64837721
<not counted>,780987,1908168,109124854,<not counted>,<not counted>,50980095,<not counted>,32764683,74908023
<not counted>,622698,1611027,89735827,1401276,<not counted>,42070774,<not counted>,24044783,62048786
<not counted>,831806,1982481,196347061,1436527,116607832,106043393,<not counted>,58742434,118463456
<not counted>,1118494,2843562,176503402,2936571,<not counted>,107049729,<not counted>,57180115,108272051
<not counted>,761728,1676486,110292570,<not counted>,<not counted>,45084231,<not counted>,55091626,77097069
<not counted>,1172839,2839582,208190050,5632107,15558640,84782848,507782,96865572,144640494
<not counted>,823159,1631993,102657586,<not counted>,<not counted>,39129696,<not counted>,58719720,74381956
