LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
7759356,28424216,70516788,8782146647,183579568,6207845330,6134043563,86199739,3861757890,5435514558
4315424,17555458,37377284,4331645045,152323532,2956608017,2811595540,42028178,1988415141,2826277312
<not counted>,213503,744808,62392683,798853,<not counted>,38174316,<not counted>,24575663,38812766
<not counted>,1039022,1933795,210093363,2892787,<not counted>,104527245,<not counted>,55357355,139094663
807693,2413269,4562901,589280530,15964665,435214524,496375962,4729140,206638256,348751183
