LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
13799325,5678781,96113596,8384461373,116526039,8057084100,8041796538,123919146,2501875836,4052982706
2190333,2655191,27444362,1838032752,63278348,1524661803,1432943398,23980526,654138661,1015499934
<not counted>,617301,2386489,52337978,<not counted>,<not counted>,28415398,<not counted>,<not counted>,36089688
93434,122089,1234408,99810342,6182409,91184817,60269431,2338335,38102909,64452562
