# started on Thu Dec 24 22:51:21 2015

5175,cache-references
3060,cache-misses
236995,instructions
454740,cycles
336904,stalled-cycles-frontend
125958,stalled-cycles-backend
<not counted>,dtlb_misses_walk_cycles
<not counted>,inst_retired_any_p
<not counted>,l2_lines_in_any
<not counted>,LLC-prefetches
