LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
1705338,5535297,13912327,1285151910,33765468,842924511,725752250,14223458,611160002,861616318
<not counted>,995304,1298859,117486620,<not counted>,<not counted>,19478789,<not counted>,78762159,102824475
<not counted>,849072,1120963,128255906,1116299,<not counted>,40435366,<not counted>,51002848,101508972
<not counted>,738684,681893,103900399,9112553,<not counted>,21523287,<not counted>,64652668,88786750
<not counted>,707838,944550,97652580,1106530,<not counted>,16207762,<not counted>,56622154,85176582
1091644,51653031,62021914,8437441624,10557019,2731583543,2622429091,63071761,5664532212,6976188464
435149,11968620,21149035,8274938847,6559480,3335527251,3280090217,23057398,5344394065,6464629801
441500,12218558,22295173,8278485181,7177157,3333384402,3279898311,22214420,5375563944,6427464511
1207477,19343222,32353225,8039267393,25675021,3293729930,3254185134,32551893,5310654702,6183705206
<not counted>,303343,450766,40775422,<not counted>,<not counted>,9537927,<not counted>,31324248,33469988
<not counted>,295751,440141,40235967,317836,<not counted>,9289628,<not counted>,28720058,33205841
