# started on Thu Dec 17 00:05:21 2015

483428,cache-references
313597,cache-misses
11556400,instructions
48324251,cycles
39954180,stalled-cycles-frontend
20749556,stalled-cycles-backend
1805450,dtlb_misses_walk_cycles
<not counted>,inst_retired_any_p
<not counted>,l2_lines_in_any
<not counted>,LLC-prefetches
