LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
16057922,7962706,103412678,9018814032,131975098,8895760555,8735364587,132815732,2655772531,4364523905
1303916,2655367,18851220,1283110993,25085901,864938366,1072973254,11366330,318684999,559288727
<not counted>,199923,132114,13742575,<not counted>,<not counted>,9979764,<not counted>,5152001,8198420
222462,173025,840141,47199750,489006,96098349,38011717,641859,14211875,24854963
93857,78705,794188,58964562,1017770,93906067,38339648,799703,24943622,31942291
<not counted>,80183,218110,25993035,167828,<not counted>,22231977,<not counted>,7377171,13945645
286167,259244,1675667,169052645,1419004,112896875,173448684,1036135,33684861,56284447
571558,367322,3238006,203072401,2427209,243549203,196655690,3094651,42494620,81219258
<not counted>,74388,321216,25317926,248991,<not counted>,21016725,<not counted>,9128355,13638867
611,36640,79323,5103731,<not counted>,<not counted>,2194948,<not counted>,2386682,3775286
<not counted>,55221,604940,20071665,326748,<not counted>,17943025,<not counted>,7476877,10930385
<not counted>,90974,217625,43194781,267454,57365167,28419827,593575,12439246,23102964
937009,363138,1951644,197235189,1897009,220089627,198845713,2354843,33498355,81194297
<not counted>,31236,108414,7454079,<not counted>,<not counted>,4869327,<not counted>,1742576,4679318
<not counted>,44117,121191,36110659,128820,<not counted>,12115196,<not counted>,3256713,7560128
<not counted>,33173,116775,17323397,<not counted>,<not counted>,17855381,<not counted>,4494830,8292246
<not counted>,44492,87091,33683513,285491,<not counted>,19370283,<not counted>,10001342,16791064
<not counted>,54301,116145,18267078,74732,<not counted>,17837801,<not counted>,5354341,9396486
413005,251101,1090850,111987103,950384,120984703,109128833,1060222,19549522,57150797
<not counted>,89406,308613,59700739,334404,<not counted>,60336019,<not counted>,13909383,27525910
<not counted>,56164,53002,15839870,1847231,<not counted>,14766024,<not counted>,6004574,8550964
<not counted>,38817,117803,5851609,<not counted>,<not counted>,2792425,<not counted>,<not counted>,4208371
<not counted>,30675,95706,4147236,<not counted>,<not counted>,1705297,<not counted>,<not counted>,3140713
