# started on Fri Dec 25 15:43:30 2015

1362636,cache-references
51514,cache-misses
19382154,instructions
43716377,cycles
31552166,stalled-cycles-frontend
23655275,stalled-cycles-backend
220082,dtlb_misses_walk_cycles
<not counted>,inst_retired_any_p
<not counted>,l2_lines_in_any
<not counted>,LLC-prefetches
