# started on Tue Dec 15 12:40:02 2015

112347,cache-references
8763,cache-misses
3629323,instructions
612351,cycles
521837,stalled-cycles-frontend
<not counted>,stalled-cycles-backend
<not counted>,dtlb_misses_walk_cycles
<not counted>,inst_retired_any_p
<not counted>,l2_lines_in_any
<not counted>,LLC-prefetches
