LLC-prefetches,cache-misses,cache-references,cycles,dtlb_misses_walk_cycles,inst_retired_any_p,instructions,l2_lines_in_any,stalled-cycles-backend,stalled-cycles-frontend
14854808,6516325,98429800,8327801231,120068909,8067493826,7912833425,127108998,2428965548,4018228755
2296318,3107015,28316254,1998251264,52141906,1727173855,1649563756,26664909,653739689,1018582755
<not counted>,49392,99096,8697677,71077,<not counted>,4303081,<not counted>,5617718,6262585
<not counted>,80124,209775,23233464,<not counted>,<not counted>,19317682,<not counted>,4554573,13124082
179098,476092,1694448,188661260,1291750,195593624,134518577,1988896,40241396,70876517
34109824,6880329,40329250,2649117552,71789000,3424573155,3433396052,65453177,569894166,1246950884
<not counted>,71727,72010,33727808,190371,47373508,21569127,<not counted>,11060642,19170623
<not counted>,44750,88955,14055128,<not counted>,<not counted>,11039220,<not counted>,4393720,8069237
<not counted>,37667,105448,6811536,<not counted>,<not counted>,3901175,<not counted>,<not counted>,4606402
<not counted>,50308,130645,11850769,<not counted>,<not counted>,7986511,<not counted>,5055626,7328875
<not counted>,47737,111877,9172160,247243,<not counted>,5076737,<not counted>,3120648,6295282
<not counted>,48372,104842,14611019,85698,<not counted>,12241312,<not counted>,3737297,8208822
<not counted>,25935,57242,3752336,<not counted>,<not counted>,1280049,<not counted>,<not counted>,2991020
<not counted>,51948,75925,11372641,105574,<not counted>,7288389,<not counted>,5493724,7459998
