# started on Tue Dec 15 12:30:09 2015

262804,cache-references
242637,cache-misses
13530912,instructions
14049128,cycles
9911432,stalled-cycles-frontend
<not counted>,stalled-cycles-backend
<not counted>,dtlb_misses_walk_cycles
<not counted>,inst_retired_any_p
<not counted>,l2_lines_in_any
<not counted>,LLC-prefetches
