flink,terasort,cmbw.sh,no,success,804.546686 
flink,terasort,cmbw.sh,bw,fail,1060.623490 
flink,terasort,cmbw.sh,cache,success,689.207254 
flink,terasort,cmbw.sh,bwcache,success,1186.511761 
flink,terasort,cmbw.sh,no,success,739.660650 
flink,terasort,cmbw.sh,bw,fail,1017.723942 
flink,terasort,cmbw.sh,cache,success,852.528069 
flink,terasort,cmbw.sh,bwcache,success,969.650089 
flink,terasort,cmbw.sh,no,success,759.033960 
flink,terasort,cmbw.sh,bw,success,1170.696620 
flink,terasort,cmbw.sh,cache,success,775.498479 
flink,terasort,cmbw.sh,bwcache,fail,1147.735567 
spark,terasort,clbm.sh,no,success,192.277721 
spark,terasort,clbm.sh,bw,success,267.428236 
spark,terasort,clbm.sh,cache,success,202.021074 
spark,terasort,clbm.sh,bwcache,success,166.977183 
spark,terasort,clbm.sh,no,success,241.118989 
spark,terasort,clbm.sh,bw,success,192.418780 
2015-12-16 09:24:26,flink,terasort,clbm.sh,bw,fail,221.871787 
2015-12-16 09:32:32,flink,terasort,clbm.sh,cache,fail,346.991884 
2015-12-16 09:55:12,flink,terasort,clbm.sh,bwcache,fail,1228.720996 
2015-12-16 11:22:42,flink,terasort,clbm.sh,no,success,328.838484 
2015-12-16 11:30:47,flink,terasort,clbm.sh,bw,success,353.171497 
2015-12-16 11:43:40,flink,terasort,clbm.sh,cache,fail,640.871568 
2015-12-16 11:56:36,flink,terasort,clbm.sh,bwcache,fail,643.629383 
2015-12-16 12:04:31,flink,terasort,clbm.sh,no,success,325.436358 
2015-12-16 12:12:20,flink,terasort,clbm.sh,bw,success,337.328113 
2015-12-16 12:24:34,flink,terasort,clbm.sh,cache,fail,601.338214 
2015-12-16 12:38:40,flink,terasort,clbm.sh,bwcache,fail,713.836689 
2015-12-16 12:46:03,flink,terasort,clbm.sh,no,success,311.756551 
2015-12-16 12:54:02,flink,terasort,clbm.sh,bw,success,347.463363 
2015-12-16 13:06:16,flink,terasort,clbm.sh,cache,fail,601.631107 
2015-12-16 13:20:16,flink,terasort,clbm.sh,bwcache,fail,707.638789 
2015-12-16 13:43:17,spark,terasort,cmbw.sh,no,success,166.005677 
2015-12-16 13:48:15,spark,terasort,cmbw.sh,bw,success,173.834997 
2015-12-16 13:53:15,spark,terasort,cmbw.sh,cache,success,173.743735 
2015-12-16 13:58:16,spark,terasort,cmbw.sh,bwcache,success,175.622110 
2015-12-16 14:04:50,spark,terasort,cmbw.sh,no,success,272.740715 
2015-12-16 14:09:45,spark,terasort,cmbw.sh,bw,success,171.158022 
2015-12-16 14:15:00,spark,terasort,cmbw.sh,cache,success,189.694968 
2015-12-16 14:20:20,spark,terasort,cmbw.sh,bwcache,success,194.806512 
2015-12-16 14:25:23,spark,terasort,cmbw.sh,no,success,180.677568 
2015-12-16 14:30:29,spark,terasort,cmbw.sh,bw,success,182.736835 
2015-12-16 14:35:33,spark,terasort,cmbw.sh,cache,success,178.607882 
2015-12-16 14:40:42,spark,terasort,cmbw.sh,bwcache,success,183.504645 
2015-12-16 14:54:20,flink,terasort,cmbw.sh,no,success,326.676270 
2015-12-16 15:02:31,flink,terasort,cmbw.sh,bw,fail,369.366795 
2015-12-16 15:16:20,flink,terasort,cmbw.sh,no,success,315.010114 
2015-12-16 15:27:10,flink,terasort,cmbw.sh,bw,fail,529.944156 
2015-12-16 15:35:30,flink,terasort,cmbw.sh,cache,success,379.612131 
2015-12-16 15:45:59,flink,terasort,cmbw.sh,bwcache,fail,506.109981 
2015-12-16 15:53:11,flink,terasort,cmbw.sh,no,success,314.784935 
2015-12-16 16:03:12,flink,terasort,cmbw.sh,bw,fail,480.670460 
2015-12-16 16:13:31,flink,terasort,cmbw.sh,cache,fail,498.332690 
2015-12-16 16:54:46,flink,terasort,cmbw.sh,no,success,79.307155 
2015-12-16 16:59:34,flink,terasort,cmbw.sh,bw,success,167.948728 
2015-12-16 17:04:38,flink,terasort,cmbw.sh,cache,success,182.108635 
2015-12-16 17:09:32,flink,terasort,cmbw.sh,bwcache,success,170.437463 
2015-12-16 17:12:45,flink,terasort,cmbw.sh,no,success,74.077951 
2015-12-16 17:16:26,flink,terasort,cmbw.sh,bw,success,101.240674 
2015-12-16 17:20:31,flink,terasort,cmbw.sh,cache,success,121.413738 
2015-12-16 17:25:08,flink,terasort,cmbw.sh,bwcache,success,155.237518 
2015-12-16 17:28:21,flink,terasort,cmbw.sh,no,success,73.831252 
