# started on Fri Dec 25 16:24:13 2015

1271252,cache-references
83884,cache-misses
12803519,instructions
37264456,cycles
28731041,stalled-cycles-frontend
12702879,stalled-cycles-backend
<not counted>,dtlb_misses_walk_cycles
<not counted>,inst_retired_any_p
<not counted>,l2_lines_in_any
<not counted>,LLC-prefetches
